Time,AlphaDeg,ReferenceCl,InitialCl,ModelCl,ReferenceCd,InitialCd,ModelCd,ReferenceCm,InitialCm,ModelCm
0.0018767,19.8836476623272,17.89024455,0.229610710689598,0.117818374959728,9.159700361,1.56439095615748,1.5479641831702,4.974262422,0.273495908228985,0.0758466039435229
0.003753399,19.7673122901751,6.998687599,0.265354811023989,0.106584792782562,2.966862554,1.56681667686513,1.54545976547712,1.720040807,0.300090423937825,0.0852034324328664
0.005630099,19.6510091907913,2.14670712,0.319092205515719,0.138792901487785,0.679430759,1.5745124328223,1.55278939671758,0.365588962,0.303680367622045,0.0880266398717929
0.007506799,19.5347538530086,0.644578132,0.360618205291525,0.16646358480508,0.054337313,1.58037617524292,1.5590666053065,-0.026616866,0.306861830401501,0.0908298017327199
0.009383498,19.4185617591802,0.485667156,0.399344353951164,0.193262895727134,-0.002243171,1.58569168282637,1.56486811741477,-0.061662048,0.309919190306509,0.0937413752795264
0.011260198,19.302448197556,0.662823632,0.435799953450419,0.219339125795445,0.065356221,1.59053114177065,1.57023716672402,-0.015942515,0.312866727531089,0.0967264140625356
0.013136898,19.1864286318524,0.826936004,0.47034523923474,0.244784797007098,0.122477669,1.59494744484224,1.57520637993493,0.022755087,0.315713761195309,0.0997623474837959
0.015013597,19.0705185132786,0.916437303,0.503238620119581,0.269660288094235,0.149733171,1.59898149255794,1.57980210070753,0.041448259,0.318466837328712,0.102833263356583
0.016890297,18.9547330935332,0.953957339,0.534673220982336,0.294006383109854,0.157545569,1.60266624151902,1.58404670070209,0.047317197,0.32113083818951,0.105927167704498
0.018766997,18.8390877934101,0.966918126,0.564798105311687,0.317851320359229,0.156649924,1.60602910131625,1.58795988035067,0.047536324,0.323709580820273,0.109034537929395
0.020643696,18.7235980151827,0.971313135,0.593731526695917,0.341215126111586,0.153023807,1.60909346144872,1.59155946617366,0.046066316,0.326206177389767,0.112147520973187
0.022520396,18.6082789564859,0.973812798,0.621569518866669,0.364112351084196,0.149096674,1.61187969810586,1.59486190767563,0.04448825,0.328623258165129,0.115259458273469
0.024397095,18.4931460386693,0.976367623,0.648391539674224,0.38655374421492,0.145515563,1.61440585035166,1.59788258120096,0.043199422,0.330963103254565,0.118364573832826
0.026273795,18.3782239228848,0.979205304,0.674226117570217,0.408528383802448,0.142333397,1.61667823722127,1.60062507729017,0.042205382,0.333224568196739,0.121457052791398
0.028150495,18.2635300970945,0.982132254,0.699137376534563,0.43004340418477,0.139460687,1.61871344170871,1.60310505716311,0.041412955,0.335409733273935,0.124531807283798
0.030027194,18.1490710448596,0.985032942,0.723214259742318,0.451123241976887,0.136816999,1.62053518967158,1.605347125815,0.040772068,0.337523531932368,0.127585429423666
0.031903894,18.0348618241832,0.987853871,0.746499029348151,0.471772236970772,0.134365731,1.62215566543325,1.60736376546316,0.040247903,0.339567534125665,0.130614362917488
0.033780594,17.9209176435035,0.990568415,0.769029352575222,0.491994258914604,0.132065711,1.62358621549707,1.60916696251396,0.039817788,0.341543226180286,0.13361537482015
