Time,AlphaDeg,ReferenceCl,ModelCl,ReferenceCd,ModelCd,ReferenceCm,ModelCm
0,5,0.240655025945347,0.240655025945347,1.50861662832988,1.50561662832988,0,0
0.00810733588023172,4.49755681820231,-0.0341857527912471,-0.0342360180620353,1.49576647715613,1.49276651505533,-1.19014729424836,-1.19016740010267
0.0162146717604634,3.99638285148785,0.0136026777670759,0.0135021484955084,1.49765163695934,1.49465178855518,-1.24332980213568,-1.24337001181233
0.0243220076406952,3.49774410879243,0.0469505753049017,0.0467997845725414,1.49873589594192,1.49573623702898,-1.22722799166615,-1.22728830110139
0.0324293435209269,3.00290019485593,0.070458207966935,0.0702571595836804,1.49933158095754,1.49633218732561,-1.16304652213327,-1.163126925232
0.0405366794011586,2.51310112835145,0.0865222290531117,0.0862709280986783,1.49963706724652,1.49663801467867,-1.07117849733744,-1.0712789859738
0.0486440152813903,2.02958418422965,0.0967045887894388,0.0964030416132302,1.49978915922748,1.49679052349818,-0.967208638477779,-0.967329202496
0.0567513511616221,1.55357076825483,0.102151196746101,0.101799410967048,1.499883516941,1.49688537381417,-0.861540994401254,-0.861681621616664
0.0648586870418538,1.08626333162798,0.103761830200495,0.103359814706865,1.49998557890907,1.49698800413622,-0.760375573572504,-0.760536249772771
0.0729660229220855,0.628842333490673,0.102272412380154,0.101820177329325,1.50013761786186,1.49714068718009,-0.666931649919024,-0.667112358865584
0.0810733588023172,0.182463258982849,0.0983003425082581,0.0977978993264604,1.50036385037169,1.49736763950187,-0.582495371698157,-0.582696095127859
0.089180694682549,-0.251746299612959,0.0923721604040691,0.0918195217860998,1.50067439533055,1.49767897997534,-0.507191840399378,-0.507412558026331
0.0972880305627807,-0.672689491267565,0.0849419019049495,0.0843390818138501,1.50106846260487,1.49807391844684,-0.440507575544599,-0.440748265062219
0.105395366443012,-1.07930297694603,0.076404131355371,0.0757511450220751,1.50153697944317,1.49854338214287,-0.38162336177144,-0.381883998854708
0.113502702323244,-1.47055961569444,0.0671037016780075,0.0664005656009547,1.50206478104567,1.49907220623973,-0.329615429908726,-0.329895988216639
0.121610038203476,-1.84547105928689,0.0573433653372141,0.0565900972819346,1.50263245002628,1.4996409733255,-0.28357022434478,-0.283870675523021
0.129717374083708,-2.20309024887909,0.0473898869586204,0.0465865059572859,1.5032178660146,1.50022756300203,-0.242644763731505,-0.242965077415307
0.137824709963939,-2.54251380736103,0.0374790549424497,0.0366255812933936,1.50379751212608,1.50080845835511,-0.206093968256721,-0.20643411207394
0.145932045844171,-2.86288432136619,0.0277157366322883,0.026812191899489,1.50435091491827,1.50136318591075,-0.174121487232181,-0.174481426806552
0.154039381724403,-3.16339250717185,0.0183624552471406,0.0174088622596804,1.50485283742319,1.50186650866746,-0.145577294353625,-0.145956993308253
0.162146717604634,-3.44327925502014,0.00968813476598629,0.00868451761747463,1.50527786585979,1.50229301280885,-0.119175175221688,-0.119574595182719
0.170254053484866,-3.70183754669525,0.00181540357962551,0.000761787627586735,1.50560677287224,1.50262347094178,-0.0947542147393862,-0.0951733153398782
0.178361389365098,-3.93841424151264,-0.00514279778720866,-0.00624638592197262,1.50582288418973,1.50284120875625,-0.072180935990798,-0.0726196748748113
0.18646872524533,-4.15241172620919,-0.011082724068459,-0.0122362565025423,1.50591245762283,1.50293248402175,-0.0513466963434695,-0.0518050291703425
0.194576061125561,-4.34328942456611,-0.015909384157059,-0.0171128317451559,1.50586499051736,1.5028867940411,-0.0321649647121124,-0.0326428451609455
0.202683397005793,-4.51056516295153,-0.0195361517919537,-0.0207894841275967,1.50567345823146,1.50269711412751,-0.014568608633694,-0.015065988408024
0.210790732886025,-4.65381638833274,-0.0218844270890522,-0.0231876125053783,1.50533448615384,1.50236006962292,0.0014927254135361,0.000975896580847939
0.218898068766257,-4.77268123568194,-0.0228833468911919,-0.0242363524617437,1.50484845775771,1.50187604395184,0.0160550867255387,0.0155188610672286
0.227005404646488,-4.86685944207868,-0.0224695409692113,-0.0238723325087686,1.50421956119335,1.50124922521392,0.0291425204758214,0.0285869521849429
0.23511274052672,-4.93611310520008,-0.0205869303002554,-0.0220394723656992,1.50345577696887,1.5004875938648,0.040769178778855,0.0401943240033067
0.243220076406952,-4.98026728428272,-0.0171865629778961,-0.0186888188691035,1.50256880935558,1.49960285412136,0.0509412386373779,0.0503471554742242
0.251327412287183,-4.99921044203816,-0.0122264827690936,-0.0137784145298665,1.50157396428171,1.49861031185558,0.0596586296004568,0.0590453780900566
0.259434748167415,-4.99289472640589,-0.00568181519222241,-0.00728338361124437,1.50049031092937,1.49752903619137,0.0668324806169308,0.0662001227368733
0.267542084047647,-4.96133609143172,0.00248321770710895,0.000832053095280491,1.49933950760258,1.49638068537267,0.0725167124566113,0.0718653121154485
0.275649419927879,-4.90461425696651,0.0122947034777249,0.0105939843916366,1.49814628813056,1.49518999316674,0.0767388625376258,0.0760684855684152
0.28375675580811,-4.82287250728689,0.023768119832873,0.0220178892431197,1.49693816804725,1.49398447504366,0.0794930245982611,0.078803738751912
0.291864091688342,-4.71631732914674,0.0369119102778664,0.0351122124060104,1.49574497984451,1.49279396342956,0.0807698325317708,0.0800617074701978
0.299971427568574,-4.58521789017376,0.051727664755995,0.049878545073444,1.49459849258225,1.49165022731672,0.080558302643837,0.0798314099329191
0.308078763448806,-4.42990535892864,0.0682102766752103,0.0663117819020704,1.49353200504652,1.49058656542166,0.0788473137809137,0.0781017268832613
0.316186099329037,-4.25077206834459,0.0863480873816019,0.0844002654854943,1.49257991700599,1.48963737744168,0.0756267864459694,0.0748625807135012
0.324293435209269,-4.04827052466019,0.106123027516403,0.104125927711259,1.49177728333471,1.48883771817756,0.0708886125665652,0.0701058652328907
0.332400771089501,-3.82291226434953,0.12751076317016,0.125464435914971,1.49115935597179,1.48822283949324,0.0646273793412563,0.0638261695138722
0.340508106969732,-3.57526656193654,0.150480853314957,0.148385350312499,1.49076111886166,1.48782772525612,0.0568409234806132,0.0560213321329086
0.348615442849964,-3.30595899195813,0.174996923643103,0.172852297838639,1.49061682114914,1.48768662453213,0.0475307460721429,0.046692856035213
0.356722778730196,-3.01566984870876,0.201016860663019,0.198823166242952,1.49075951398034,1.48783258838661,0.0367023131205662,0.0358462090748441
0.364830114610428,-2.70513242775787,0.228493028698623,0.226250321089131,1.49122059627557,1.48829701565721,0.0243652624348367,0.0234910309015342
0.372937450490659,-2.37513117358175,0.257372633800223,0.255080969665852,1.49202937530249,1.48910921352708,0.0105345471092255,0.00964227644159064
0.381044786370891,-2.02649969798849,0.287597048250897,0.285256485493146,1.49321264114016,1.49029597198889,-0.00477728816219705,-0.00568750778781425
0.389152122251123,-1.66011867434251,0.319103664728231,0.316714262484071,1.49479427390663,1.49188117107246,-0.0215471593621286,-0.022475235955385
0.397259458131354,-1.27691361290703,0.351825588343019,0.349387406983403,1.49679488061557,1.49388541770135,-0.0397466092855465,-0.0406924490514018
0.405366794011586,-0.877852522924744,0.385691824823653,0.383204925952004,1.4992314615419,1.49632571205852,-0.0593430791226261,-0.060306586470829
0.413474129891818,-0.463943467342689,0.420627633982639,0.418092080433276,1.5021171142639,1.4992151516284,-0.0802999909499957,-0.081281068504738
0.42158146577205,-0.0362320163575881,0.456554898550248,0.453970754386807,1.50546077881517,1.50256267634893,-0.102576848136158,-0.103575396745918
0.429688801652281,0.404201393785103,0.493392504222971,0.49075983473678,1.50926702699013,1.50637285791699,-0.126129352310382,-0.127145271057942
0.437796137532513,0.856244190067152,0.531056726511934,0.528375598220379,1.51353589829136,1.5106457357358,-0.150909535717989,-0.151942721930643
0.445903473412745,1.31875447315323,0.569461619816142,0.566732100460969,1.51826278442362,1.51537670140886,-0.17686590794135,-0.177916257201273
0.454010809292977,1.79056390192793,0.608519404090184,0.605741562635796,1.52343836363587,1.52055643308208,-0.203943616107003,-0.205011022261804
0.462118145173208,2.27048064482673,0.648140844525975,0.64531475115768,1.5290485856017,1.52617088032411,-0.232084617826611,-0.233168973000061
0.47022548105344,2.75729239050619,0.688235619821173,0.685361345943432,1.53507470691883,1.53220129962594,-0.261227866234548,-0.262329060837489
0.478332816933672,3.24976941024726,0.728712674858934,0.725790293093535,1.54149337671178,1.53862434000348,-0.291309506588509,-0.292427429329922
0.486440152813903,3.74666766435693,0.769480553968128,0.766510138152355,1.54827677124609,1.54541217761185,-0.322263083992535,-0.323397621890787
0.494547488694135,4.24673194472066,0.810447711362097,0.807429336546881,1.55539277591817,1.55253269773519,-0.354019761884026,-0.355170800278298
0.502654824574367,4.74869904556663,0.851521776238634,0.848455518686636,1.56280515387107,1.55994966340248,-0.386517006759874,-0.38768442932174
0.510762160454599,5.2513009544334,0.892611428321759,0.889497365505454,1.57047389915655,1.56762306854954,-0.419685401697335,-0.42086909044252
0.51886949633483,5.75326805527931,0.933626442583683,0.930464653183394,1.57835554396995,1.575509445254,-0.45345040413404,-0.454650239434341
0.526976832215062,6.25333233564304,0.974477443902155,0.971268007804082,1.58640348137355,1.58356218645857,-0.487736265082019,-0.488952125677408
