0.002386	2.511617	1.821053	0.719037
0.004772	0.868907	0.367034	0.199692
0.007159	0.315163	0.067198	0.055722
0.009545	0.199837	0.027725	0.030142
0.011931	0.212078	0.030448	0.035877
0.014317	0.234328	0.033145	0.041567
0.016703	0.248349	0.033238	0.045674
0.019090	0.252606	0.031662	0.046900
0.021476	0.253478	0.029784	0.047550
0.023862	0.252801	0.027982	0.047898
0.026248	0.251322	0.026326	0.048016
0.028634	0.249717	0.024901	0.048230
0.031021	0.247715	0.023637	0.048355
0.033407	0.245450	0.022526	0.048462
0.035793	0.242956	0.021554	0.048566
0.038179	0.240219	0.020696	0.048643
0.040565	0.237269	0.019941	0.048711
0.042951	0.234099	0.019273	0.048762
0.045338	0.230736	0.018683	0.048800
0.047724	0.227189	0.018157	0.048826
0.050110	0.223477	0.017689	0.048845
0.052496	0.219601	0.017267	0.048852
0.054882	0.215592	0.016882	0.048857
0.057269	0.211455	0.016527	0.048859
0.059655	0.207208	0.016199	0.048861
0.062041	0.202861	0.015892	0.048866
0.064427	0.198423	0.015601	0.048872
0.066813	0.193906	0.015327	0.048883
0.069200	0.189317	0.015070	0.048898
0.071586	0.184666	0.014830	0.048919
0.073972	0.179963	0.014609	0.048950
0.076358	0.175209	0.014404	0.048991
0.078744	0.170409	0.014213	0.049042
0.081131	0.165560	0.014036	0.049100
0.083517	0.160665	0.013869	0.049163
0.085903	0.155717	0.013711	0.049230
0.088289	0.150729	0.013559	0.049303
0.090675	0.145695	0.013417	0.049379
0.093062	0.140612	0.013278	0.049458
0.095448	0.135480	0.013148	0.049538
0.097834	0.130305	0.013026	0.049622
0.100220	0.125093	0.012914	0.049709
0.102606	0.119854	0.012815	0.049801
0.104992	0.114596	0.012732	0.049900
0.107379	0.109330	0.012667	0.050006
0.109765	0.104066	0.012620	0.050123
0.112151	0.098812	0.012592	0.050250
0.114537	0.093573	0.012576	0.050390
0.116923	0.088356	0.012572	0.050542
0.119310	0.083165	0.012578	0.050709
0.121696	0.078005	0.012590	0.050890
0.124082	0.072876	0.012608	0.051083
0.126468	0.067773	0.012630	0.051285
0.128854	0.062691	0.012654	0.051495
0.131241	0.057627	0.012682	0.051707
0.133627	0.052580	0.012710	0.051922
0.136013	0.047552	0.012740	0.052140
0.138399	0.042541	0.012770	0.052357
0.140785	0.037552	0.012800	0.052577
0.143172	0.032585	0.012832	0.052797
0.145558	0.027644	0.012865	0.053018
0.147944	0.022733	0.012899	0.053243
0.150330	0.017857	0.012934	0.053470
0.152716	0.013022	0.012970	0.053702
0.155103	0.008229	0.013008	0.053936
0.157489	0.003482	0.013047	0.054175
0.159875	-0.001217	0.013088	0.054418
0.162261	-0.005866	0.013132	0.054663
0.164647	-0.010459	0.013179	0.054910
0.167033	-0.014997	0.013226	0.055162
0.169420	-0.019477	0.013272	0.055423
0.171806	-0.023897	0.013317	0.055692
0.174192	-0.028257	0.013360	0.055967
0.176578	-0.032556	0.013401	0.056249
0.178964	-0.036794	0.013441	0.056535
0.181351	-0.040969	0.013478	0.056826
0.183737	-0.045079	0.013513	0.057121
0.186123	-0.049120	0.013545	0.057422
0.188509	-0.053091	0.013573	0.057728
0.190895	-0.056992	0.013598	0.058039
0.193282	-0.060824	0.013620	0.058353
0.195668	-0.064586	0.013640	0.058671
0.198054	-0.068275	0.013658	0.058992
